url,name,description,language,Category,blockchain,updated_at
https://api.github.com/repos/enKryptIO/ethvm,ethvm,ethereum block explorer,Vue,Others,ethereum,2025-01-10 18:55:12+00:00
https://api.github.com/repos/mmgen/mmgen,mmgen,lightweight online/offline Bitcoin wallet/cold storage solution for the command line,Python,Crypto,bitcoin,2025-03-04 09:59:52+00:00
https://api.github.com/repos/wavesplatform/WavesExplorerLite,WavesExplorerLite,Pure AngularJS explorer for Waves Blockchain,,Others,waves,2024-08-21 15:35:22+00:00
https://api.github.com/repos/okex/okchain,okchain,The Infrastructure of Decentralized Exchange,Go,Crypto,cosmos,2025-02-06 08:27:48+00:00
https://api.github.com/repos/decred/dcrdata,dcrdata,"Decred block explorer, with packages and apps for data collection and storage. Written in Go.",Go,Others,decred,2024-09-23 14:38:01+00:00
https://api.github.com/repos/vacuumlabs/adalite,adalite,A lightweight wallet for Cardano cryptocurrency,HTML,Crypto,cardano,2025-03-03 14:19:36+00:00
https://api.github.com/repos/mempool/mempool,mempool,Realtime Bitcoin blockchain explorer and mempool visualizer,TypeScript,Others,bitcoin,2025-03-06 03:54:29+00:00
https://api.github.com/repos/Havven/havven,havven,Havven Solidity smart contracts,Python,Others,ethereum,2025-02-27 05:07:45+00:00
https://api.github.com/repos/naddison36/tx2uml,tx2uml,Ethereum transaction visualizer. Generates UML sequence diagram for a transaction's contract calls.,TypeScript,Others,ethereum,2025-01-24 00:11:09+00:00
https://api.github.com/repos/electrumsv/electrumsv,electrumsv,A desktop wallet for Bitcoin SV,,Crypto,bitcoin sv,2024-03-13 03:42:51+00:00
https://api.github.com/repos/jtgrassie/monero-pool,monero-pool,,C++,Crypto,monero,2024-03-10 02:18:47+00:00
https://api.github.com/repos/cybercongress/go-cyber,go-cyber,"A Consensus Supercomputer for computing relevance in web3, built with Cosmos-SDK & CUDA #fuckgoogle",Go,Others,cosmos,2024-12-12 00:08:00+00:00
https://api.github.com/repos/DecentricCorp/Coval-Unspecified-Ml-Blockchain,Coval-Unspecified-Ml-Blockchain,,,Others,ethereum,2024-12-20 04:29:09+00:00
https://api.github.com/repos/Kava-Labs/kava,kava,A decentralized fast-finality blockchain for interoperable payment channel networks.,Go,Crypto,cosmos,2025-02-18 17:05:24+00:00
https://api.github.com/repos/Synthetixio/synthetix,synthetix,Synthetix Solidity smart contracts,JavaScript,Others,synthetix,2025-02-27 05:07:45+00:00
https://api.github.com/repos/cryptoadvance/specter-desktop,specter-desktop,(Work In Progress) A desktop GUI for Bitcoin Core optimised to work with airgapped hardware wallets,Python,Others,bitcoin,2025-01-03 18:48:23+00:00
https://api.github.com/repos/chatch/stellarexplorer,stellarexplorer,Ledger Explorer for the Stellar Network,,Others,stellar,2025-01-06 19:51:35+00:00
https://api.github.com/repos/mollie/OpenCart,OpenCart,"iDEAL, Creditcard, Bancontact/Mister Cash, SOFORT, Bank transfer, Bitcoin, PayPal & paysafecard for OpenCart 1.5.6+ and  OpenCart 2.0+.",PHP,Crypto,bitcoin,2025-01-29 08:59:37+00:00
https://api.github.com/repos/ETCDEVTeam/emerald-wallet,emerald-wallet,Emerald Wallet / Ethereum Classic Wallet,JavaScript,Crypto,multi,2025-03-04 21:18:55+00:00
https://api.github.com/repos/SatoshiPortal/dockers,dockers,Make it easier to live in a Bitcoin world,,Others,bitcoin,2024-07-30 23:44:39+00:00
https://api.github.com/repos/ValleZ/Paper-Wallet,Paper-Wallet,Bitcoin paper wallet,Java,Crypto,bitcoin,2024-04-21 14:32:45+00:00
https://api.github.com/repos/crytic/solc-select,solc-select,A script to quickly switch between Solidity compiler versions,Shell,Others,ethereum,2025-02-27 08:31:11+00:00
https://api.github.com/repos/cybercongress/cyb,cyb,???? Front door to the blockchain universe,TypeScript,Others,multi,2025-01-30 11:23:36+00:00
